order_id,customer_id,customer_grade,product_name,category,price,quantity,order_date,order_time,payment_method,region
1001,C001,VIP,노트북 거치대,컴퓨터/주변기기,45000,1,2024-01-15,09:23:45,신용카드,서울
1002,C002,일반,무선 마우스,컴퓨터/주변기기,35000,2,2024-01-15,10:15:23,체크카드,경기
1003,C003,실버,USB 허브,컴퓨터/주변기기,28000,1,2024-01-15,11:45:12,간편결제,서울
1004,C004,골드,블루투스 키보드,컴퓨터/주변기기,89000,1,2024-01-15,14:22:34,신용카드,부산
1005,C005,일반,웹캠,컴퓨터/주변기기,67000,1,2024-01-15,15:34:56,간편결제,대구
1006,C006,VIP,모니터 27인치,컴퓨터/주변기기,389000,1,2024-01-15,16:45:23,신용카드,서울
1007,C007,실버,마우스 패드,컴퓨터/주변기기,15000,3,2024-01-15,17:23:45,체크카드,인천
1008,C008,일반,헤드셋,컴퓨터/주변기기,125000,1,2024-01-15,18:56:12,간편결제,광주
1009,C009,골드,외장하드 1TB,컴퓨터/주변기기,89000,2,2024-01-15,19:34:23,신용카드,서울
1010,C010,일반,HDMI 케이블,컴퓨터/주변기기,18000,2,2024-01-15,20:12:34,체크카드,경기
1011,C011,VIP,운동화,패션/의류,189000,1,2024-01-16,08:45:12,신용카드,서울
1012,C012,일반,티셔츠,패션/의류,39000,3,2024-01-16,09:23:45,간편결제,부산
1013,C013,실버,청바지,패션/의류,89000,2,2024-01-16,10:56:23,체크카드,대구
1014,C014,골드,가디건,패션/의류,79000,1,2024-01-16,11:34:56,신용카드,인천
1015,C015,일반,양말 5족,패션/의류,15000,2,2024-01-16,13:45:12,간편결제,광주
1016,C016,VIP,코트,패션/의류,289000,1,2024-01-16,14:23:34,신용카드,서울
1017,C017,실버,목도리,패션/의류,45000,1,2024-01-16,15:56:45,체크카드,경기
1018,C018,일반,장갑,패션/의류,25000,2,2024-01-16,16:34:23,간편결제,서울
1019,C019,골드,백팩,패션/의류,129000,1,2024-01-16,17:12:56,신용카드,부산
1020,C020,일반,모자,패션/의류,35000,1,2024-01-16,18:45:34,체크카드,대구
1021,C021,VIP,전기밥솥,생활/주방,289000,1,2024-01-17,09:23:45,신용카드,서울
1022,C022,일반,프라이팬,생활/주방,67000,1,2024-01-17,10:56:12,간편결제,인천
1023,C023,실버,믹서기,생활/주방,189000,1,2024-01-17,11:34:23,체크카드,광주
1024,C024,골드,전자레인지,생활/주방,145000,1,2024-01-17,13:12:45,신용카드,서울
1025,C025,일반,텀블러,생활/주방,35000,2,2024-01-17,14:45:56,간편결제,경기
1026,C026,VIP,에어프라이어,생활/주방,189000,1,2024-01-17,15:23:34,신용카드,부산
1027,C027,실버,도마,생활/주방,28000,1,2024-01-17,16:56:12,체크카드,대구
1028,C028,일반,주방칼 세트,생활/주방,89000,1,2024-01-17,17:34:45,간편결제,인천
1029,C029,골드,냄비 세트,생활/주방,156000,1,2024-01-17,18:12:23,신용카드,광주
1030,C030,일반,보온병,생활/주방,45000,1,2024-01-17,19:45:56,체크카드,서울
1031,C001,VIP,화장품 세트,뷰티/건강,289000,1,2024-01-18,08:34:12,신용카드,서울
1032,C002,일반,선크림,뷰티/건강,35000,2,2024-01-18,09:56:45,체크카드,경기
1033,C003,실버,마스크팩 10매,뷰티/건강,25000,3,2024-01-18,10:23:34,간편결제,서울
1034,C004,골드,향수,뷰티/건강,125000,1,2024-01-18,11:45:56,신용카드,부산
1035,C005,일반,립스틱,뷰티/건강,45000,2,2024-01-18,13:12:23,간편결제,대구
1036,C031,VIP,노트북,컴퓨터/주변기기,1890000,1,2024-01-18,14:34:45,신용카드,서울
1037,C032,일반,무선 이어폰,컴퓨터/주변기기,189000,1,2024-01-18,15:56:12,간편결제,인천
1038,C033,실버,스마트워치,컴퓨터/주변기기,389000,1,2024-01-18,16:23:34,체크카드,광주
1039,C034,골드,태블릿,컴퓨터/주변기기,789000,1,2024-01-18,17:45:56,신용카드,서울
1040,C035,일반,충전기,컴퓨터/주변기기,35000,2,2024-01-18,18:12:23,체크카드,경기
1041,C036,VIP,정장,패션/의류,589000,1,2024-01-19,09:34:45,신용카드,서울
1042,C037,일반,스니커즈,패션/의류,129000,1,2024-01-19,10:56:12,간편결제,부산
1043,C038,실버,지갑,패션/의류,89000,1,2024-01-19,11:23:34,체크카드,대구
1044,C039,골드,벨트,패션/의류,78000,1,2024-01-19,13:45:56,신용카드,인천
1045,C040,일반,넥타이,패션/의류,45000,2,2024-01-19,14:12:23,간편결제,광주
1046,C041,VIP,커피머신,생활/주방,890000,1,2024-01-19,15:34:45,신용카드,서울
1047,C042,일반,토스터,생활/주방,89000,1,2024-01-19,16:56:12,체크카드,경기
1048,C043,실버,전기포트,생활/주방,67000,1,2024-01-19,17:23:34,간편결제,서울
1049,C044,골드,정수기 필터,생활/주방,156000,2,2024-01-19,18:45:56,신용카드,부산
1050,C045,일반,수저 세트,생활/주방,35000,1,2024-01-19,19:12:23,체크카드,대구